resampled_history_id,selected_position_row_index,common_event_id,source_event_id,production_tag,Z,A,isomer,x_cm,y_cm,z_cm,source_volume,resolved_static_material,original_activity_weight_Bq,sampling_probability,selection_u64
1,61,61,4758,n,29,64,0,21.24014,-2.799425,7.116672,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,161579224287262237
2,3104,3104,9002,n,29,64,0,7.047328,5.029647,-0.1669319,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8264998822456780125
3,3316,3316,9214,n,29,64,0,1.076801,-3.284617,5.679863,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8829324801232369513
4,5853,5853,234309,n,29,64,0,1.934984,0.7403839,-8.800187,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15584761101376641161
5,3540,3540,9665,n,29,64,0,4.877197,3.639476,-4.878875,ColdPlate_MXC_50mK_SD_anchor,Copper,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9424626213192282362
6,2455,2455,7152,n,29,64,0,8.668145,-4.083241,19.37111,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6537347836521304736
7,863,863,5560,n,29,64,0,12.37548,0.2417014,16.03708,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2296334214059482169
8,2455,2455,7152,n,29,64,0,8.668145,-4.083241,19.37111,ColdPlate_4K,Copper,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6536123982032293952
9,5826,5826,234282,n,29,64,0,-2.929404,-7.471265,-2.168243,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15514480908242579435
10,2912,2912,8810,n,29,64,0,7.413049,-0.1567328,-0.06565099,ColdPlate_CP_100mK_intercept,Copper,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7752596307311395989
11,4862,4862,11201,n,29,64,0,11.03651,0.1078969,4.289171,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12947244560201217642
12,6417,6417,235140,n,29,64,0,9.602236,9.025196,6.64836,DR_Capillary_CuNi_Still_4K,CuNi,0.00067878017572817528276285253293103448275862068965517241379310344827586206896551724,0.00014436280272258657460993552081507405435756479182106602876456061475960886262405059,17085951256216299971
13,4848,4848,11187,n,29,64,0,9.059837,8.171135,6.475985,ColdPlate_Still_0p7K,Copper,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12907744785630852757
14,6731,6731,236653,n,29,64,0,6.795232,2.406875,7.140841,DR_Still_Pot_Cu,Copper,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,17922342008318318923
