common_event_id,source_event_id,production_tag,x_cm,y_cm,z_cm,source_volume,canonical_volume_for_reporting_only,canonical_differs_from_source_volume,geant4_logical_volume_name_authority,fluka_region_name,material,fluka_material,translation_status,critical_flag,original_activity_weight_Bq,audit_status,audit_note
1,153,muminus,10.47543,7.475009,17.97492,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.0006753252346540412812810649609,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
2,4699,n,17.0042,8.949003,11.53956,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
3,4700,n,16.70052,9.288542,11.27405,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
4,4701,n,19.95725,-5.395792,8.16506,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
5,4702,n,16.25033,6.388564,12.22213,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
6,4703,n,11.44449,-1.962863,16.49001,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
7,4704,n,11.28395,8.951373,17.26312,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
8,4705,n,15.13345,-7.269784,13.49291,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
9,4706,n,19.66914,-3.508203,8.948042,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
10,4707,n,10.52657,-8.763941,17.5598,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
11,4708,n,17.93886,-3.545879,10.0928,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
12,4709,n,18.01287,1.760647,9.872084,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
13,4710,n,19.54789,-2.331398,8.517451,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
14,4711,n,14.99066,-5.206669,13.57419,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
15,4712,n,12.03105,3.537678,16.53986,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
16,4713,n,14.87594,-0.5027262,13.71701,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
17,4714,n,15.92304,-8.137665,11.95564,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
18,4715,n,21.29772,-0.2111777,6.962263,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
19,4716,n,14.95602,-5.691217,12.97093,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
20,4717,n,14.06767,7.636031,14.2372,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
21,4718,n,17.84885,-7.523538,10.73027,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
22,4719,n,7.919705,-2.71913,20.11179,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
23,4720,n,16.76666,7.557731,11.5509,ColdPlate_4K,ColdPlate_4K,False,ColdPlate_4K,R0000004,Copper,COPPER,TRANSLATED,YES,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,PASS_NAME_LEVEL,source_volume maps to translated FLUKA region/material by name; coordinate containment is not tested here
